ISO	Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	2009	2010	2011	2012	2013	2014	2015	2016	Estimates Start After	,,
,,
ATG	Antigua and Barbuda	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-9.569	-4.113	2.021	2.524	3.764	4.172	4.401	4.594	2009	
,,
ARG	Argentina	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.835	9.161	7.987	4.621	4.207	3.982	3.955	4.036	2010	
,,
BHS	The Bahamas	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-5.366	0.956	2.000	2.500	2.700	2.328	2.500	2.700	2010	
,,
BRB	Barbados	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-4.694	0.340	1.800	2.200	2.800	3.000	3.500	3.500	2009	
,,
BLZ	Belize	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-0.025	2.743	2.500	2.750	2.500	2.500	2.500	2.500	2010	
,,
BOL	Bolivia	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	3.357	4.127	5.000	4.500	4.500	4.500	4.500	4.500	2009	
,,
BRA	Brazil	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-0.645	7.490	3.769	3.625	4.152	4.160	4.160	4.160	2010	
,,
CHL	Chile	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-1.676	5.193	6.545	4.745	4.460	4.460	4.460	4.470	2010	
,,
COL	Colombia	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	1.452	4.289	4.870	4.463	4.456	4.478	4.478	4.489	2009	
,,
CRI	Costa Rica	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-1.291	4.172	4.000	4.100	4.400	4.474	4.494	4.500	2010	
,,
DMA	Dominica	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-0.737	0.335	0.902	1.500	1.750	2.200	2.300	1.870	2010	
,,
DOM	Dominican Republic	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	3.454	7.751	4.500	5.500	6.000	6.000	6.000	6.000	2010	
,,
ECU	Ecuador	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.362	3.582	5.777	3.800	3.400	2.691	2.688	2.684	2010	
,,
SLV	El Salvador	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-3.133	1.426	2.000	2.500	3.000	4.000	4.000	4.000	2010	
,,
GRD	Grenada	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-7.650	-1.405	--	1.000	1.500	2.000	2.500	3.000	2010	
,,
GTM	Guatemala	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.547	2.763	2.846	2.995	3.476	3.519	3.487	3.453	2009	
,,
GUY	Guyana	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	3.319	4.371	5.257	5.974	5.467	4.302	2.054	3.015	2010	
,,
HTI	Haiti	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.878	-5.416	6.137	7.528	6.928	6.476	5.843	5.486	2009	
,,
HND	Honduras	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-2.131	2.773	3.464	3.500	4.000	4.000	4.000	4.000	2010	
,,
JAM	Jamaica	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-3.046	-1.217	1.493	1.748	2.425	2.500	2.848	3.000	2010	
,,
MEX	Mexico	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-6.161	5.416	3.790	3.605	3.698	3.822	3.385	3.205	2010	
,,
NIC	Nicaragua	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-1.469	4.480	3.982	3.316	4.000	4.000	4.000	4.000	2010	
,,
PAN	Panama	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	3.196	7.505	7.404	7.238	6.563	5.832	5.374	4.960	2009	
,,
PRY	Paraguay	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-3.847	15.046	6.400	5.000	4.500	4.000	4.000	4.000	2010	
,,
PER	Peru	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.862	8.794	6.245	5.571	5.999	5.980	5.988	6.014	2010	
,,
KNA	St. Kitts and Nevis	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-4.444	-1.500	1.499	1.801	2.500	3.002	3.505	3.503	2009	
,,
LCA	St. Lucia	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-1.287	4.398	2.033	2.649	2.403	2.431	2.433	2.426	2010	
,,
VCT	St. Vincent and the Grenadines	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-2.298	-1.835	-0.389	2.039	2.000	2.500	3.500	3.500	2010	
,,
SUR	Suriname	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	3.064	4.423	5.025	4.990	5.472	7.659	5.585	5.442	2009	
,,
TTO	Trinidad and Tobago	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-3.539	-0.586	1.100	2.627	2.676	2.686	2.683	2.694	2010	
,,
URY	Uruguay	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.581	8.468	6.000	4.200	4.000	4.000	4.000	4.000	2010	
,,
VEN	Venezuela	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-3.202	-1.489	2.832	3.594	2.127	1.958	2.022	1.777	2010	
,,
,,
,,
International Monetary Fund, World Economic Outlook Database, September 2011
